id_regions_data,id_regions_description,state_code,created_by,create_dt,last_activity_by,last_activity_dt
1,2,MI,dconnolly,"2019-05-16 12:43:55",NULL,NULL
2,2,IN,dconnolly,"2019-05-16 12:54:32",NULL,NULL
4,2,MN,dconnolly,"2019-05-16 15:43:48",NULL,NULL
5,2,IA,dconnolly,"2019-05-16 15:44:08",NULL,NULL
6,2,MO,dconnolly,"2019-05-16 15:44:35",NULL,NULL
7,2,ND,dconnolly,"2019-05-16 15:46:33",NULL,NULL
8,2,SD,dconnolly,"2019-05-16 15:46:43",NULL,NULL
9,2,NE,dconnolly,"2019-05-16 15:46:52",NULL,NULL
10,2,KS,dconnolly,"2019-05-16 15:47:00",NULL,NULL
11,2,WI,dconnolly,"2019-05-16 15:47:15",NULL,NULL
12,2,IL,dconnolly,"2019-05-16 15:47:26",NULL,NULL
13,2,OH,dconnolly,"2019-05-16 15:47:50",NULL,NULL
14,3,ME,dconnolly,"2019-05-16 15:51:15",NULL,NULL
15,3,NH,dconnolly,"2019-05-16 15:51:25",NULL,NULL
16,3,VT,dconnolly,"2019-05-16 15:51:34",NULL,NULL
17,3,MA,dconnolly,"2019-05-16 15:51:45",NULL,NULL
18,3,RI,dconnolly,"2019-05-16 15:52:00",NULL,NULL
19,3,CT,dconnolly,"2019-05-16 15:52:04",NULL,NULL
20,3,NY,dconnolly,"2019-05-16 15:52:18",NULL,NULL
21,3,NJ,dconnolly,"2019-05-16 15:52:27",NULL,NULL
22,3,PA,dconnolly,"2019-05-16 15:52:35",NULL,NULL
23,3,DE,dconnolly,"2019-05-16 15:52:46",NULL,NULL
24,3,MD,dconnolly,"2019-05-16 15:52:59",NULL,NULL
25,4,TX,dconnolly,"2019-05-16 16:02:13",NULL,NULL
26,4,OK,dconnolly,"2019-05-16 16:02:22",NULL,NULL
27,4,AR,dconnolly,"2019-05-16 16:02:28",NULL,NULL
28,4,LA,dconnolly,"2019-05-16 16:02:38",NULL,NULL
29,4,MS,dconnolly,"2019-05-16 16:02:46",NULL,NULL
30,4,TN,dconnolly,"2019-05-16 16:02:54",NULL,NULL
31,4,AL,dconnolly,"2019-05-16 16:02:59",NULL,NULL
32,4,GA,dconnolly,"2019-05-16 16:03:06",NULL,NULL
33,4,FL,dconnolly,"2019-05-16 16:03:15",NULL,NULL
34,4,SC,dconnolly,"2019-05-16 16:03:25",NULL,NULL
35,4,NC,dconnolly,"2019-05-16 16:03:34",NULL,NULL
36,4,KY,dconnolly,"2019-05-16 16:03:43",NULL,NULL
37,4,VA,dconnolly,"2019-05-16 16:03:52",NULL,NULL
38,4,WV,dconnolly,"2019-05-16 16:03:59",NULL,NULL
39,1,AK,dconnolly,"2019-05-16 16:05:45",NULL,NULL
40,1,HI,dconnolly,"2019-05-16 16:05:49",NULL,NULL
41,1,WA,dconnolly,"2019-05-16 16:05:56",NULL,NULL
42,1,OR,dconnolly,"2019-05-16 16:06:06",NULL,NULL
43,1,CA,dconnolly,"2019-05-16 16:06:12",NULL,NULL
44,1,NV,dconnolly,"2019-05-16 16:06:19",NULL,NULL
45,1,ID,dconnolly,"2019-05-16 16:06:28",NULL,NULL
46,1,UT,dconnolly,"2019-05-16 16:06:38",NULL,NULL
47,1,AZ,dconnolly,"2019-05-16 16:06:44",NULL,NULL
48,1,MT,dconnolly,"2019-05-16 16:06:55",NULL,NULL
49,1,WY,dconnolly,"2019-05-16 16:07:02",NULL,NULL
50,1,CO,dconnolly,"2019-05-16 16:07:08",NULL,NULL
51,1,NM,dconnolly,"2019-05-16 16:07:18",NULL,NULL
53,5,WA,dconnolly,"2019-05-21 15:54:47",NULL,NULL
54,5,OR,dconnolly,"2019-05-21 15:54:54",NULL,NULL
55,5,CA,dconnolly,"2019-05-21 15:54:59",NULL,NULL
56,5,NY,dconnolly,"2019-05-21 15:55:09",NULL,NULL
57,5,NJ,dconnolly,"2019-05-21 15:55:15",NULL,NULL
