id_senator,member_code,print_name,start_congress,start_cong_session,end_congress,end_cong_session,state_code,term_began,name_prefix,name_suffix,middle_name,state,first_name,last_name,congrec_name,senate_rank,date_sworn,termination_date,notes,death_date,created_by,create_dt,last_activity_by,last_activity_dt,rank_in_party
1055,S002,Abourezk,0,0,0,0,SD,,Mr.,,,"South Dakota",James,Abourezk,,0,"1973-01-03 00:00:00","1979-01-02 00:00:00",,NULL,SENATE,"1999-09-17 08:52:39",,NULL,0
1056,S003,"James Allen",0,0,0,0,AL,,Mr.,,B.,Alabama,James,Allen,,0,"1969-01-03 00:00:00","1978-06-01 00:00:00",,NULL,SENATE,"1999-09-17 08:52:39",,NULL,0
1057,S004,Baker,0,0,0,0,TN,,Mr.,"Jr.  ",H.,Tennessee,Howard,Baker,"Mr. BAKER",0,"1967-01-03 00:00:00","1985-01-03 00:00:00",,NULL,SENATE,"1999-09-17 08:52:39",,NULL,0
1058,S005,Bartlett,0,0,0,0,OK,,Mr.,,F.,Oklahoma,Dewey,Bartlett,,0,"1973-01-03 00:00:00","1979-01-02 00:00:00",,NULL,SENATE,"1999-09-17 08:52:39",,NULL,0
1059,S006,Bayh,0,0,0,0,IN,,Mr.,,,Indiana,Birch,Bayh,,0,"1963-01-03 00:00:00","1981-01-03 00:00:00",,NULL,SENATE,"1999-09-17 08:52:39",,NULL,0
1060,S007,Beall,0,0,0,0,MD,,Mr.,,Glenn,Maryland,J,Beall,,0,"1971-01-03 00:00:00","1977-01-03 00:00:00",,NULL,SENATE,"1999-09-17 08:52:39",,NULL,0
1061,S008,Bellmon,0,0,0,0,OK,,Mr.,,,Oklahoma,Henry,Bellmon,,0,"1969-01-03 00:00:00","1981-01-03 00:00:00",,NULL,SENATE,"1999-09-17 08:52:39",,NULL,0
1062,S009,Bentsen,0,0,0,0,TX,,Mr.,,,Texas,Lloyd,Bentsen,"Mr. BENTSEN",0,"1971-01-03 00:00:00","1993-01-20 00:00:00",,NULL,SENATE,"1999-09-17 08:52:39",,NULL,0
1063,S010,Biden,93,1,111,1,DE,73,Mr.,Jr.,R.,Delaware,Joseph,Biden,"Mr. JOSEPH BIDEN",7,"1973-01-03 00:00:00","2009-01-15 00:00:00",,NULL,SENATE,"1999-09-17 08:52:39",,NULL,0
1064,S011,Brock,0,0,0,0,TN,,Mr.,,,Tennessee,Bill,Brock,,0,"1971-01-03 00:00:00","1977-01-03 00:00:00",,NULL,SENATE,"1999-09-17 08:52:39",,NULL,0
1065,S012,Brooke,0,0,0,0,MA,,Mr.,,W,Massachusetts,Edward,Brooke,,0,"1967-01-03 00:00:00","1979-01-02 00:00:00",,NULL,SENATE,"1999-09-17 08:52:39",,NULL,0
1066,S013,Buckley,0,0,0,0,NY,,Mr.,,,"New York",James,Buckley,,0,"1971-01-03 00:00:00","1977-01-03 00:00:00",,NULL,SENATE,"1999-09-17 08:52:39",,NULL,0
1067,S014,Bumpers,0,0,0,0,AR,75,Mr.,,,Arkansas,Dale,Bumpers,"Mr. BUMPERS",12,"1975-01-03 00:00:00","1998-12-31 00:00:00",,NULL,SENATE,"1999-09-17 08:52:39",,NULL,0
1068,S015,"Burdick, Q.",0,0,0,0,ND,,Mr.,,N.,"North Dakota",Quentin,Burdick,"Mr. BURDICK",0,"1960-08-08 00:00:00","1992-09-08 00:00:00",,"1992-09-08 00:00:00",SENATE,"1999-09-17 08:52:39",,NULL,0
1069,S016,"Byrd, Jr. (VA)",0,0,0,0,VA,,Mr.,Jr.,F.,Virginia,Harry,Byrd-Harry,"Mr. BYRD, HARRY",0,"1965-11-12 00:00:00","1983-01-02 00:00:00","Senator Harry Byrd was re-elected as an independent in 1970.  He continued to caucus with the Democrats.","2013-07-30 00:00:00",SENATE,"1999-09-17 08:52:39",dconnolly,"2013-10-10 15:06:45",0
1070,S017,Byrd,93,1,111,2,WV,59,Mr.,,C.,"West Virginia",Robert,Byrd,"Mr. BYRD",1,"1959-01-03 00:00:00","2010-06-27 00:00:00","Elected to the 86th Congress, 1st Session.  Votebase allows values only back to 93-1.  Total votes cast: 18,689.  Last vote eligible to cast: 200 (111-2). Last vote actually cast: 193 (111-2). ","2010-06-27 00:00:00",SENATE,"1999-09-17 08:52:39",dconnolly,"2015-06-08 17:38:22",0
1071,S018,Cannon,0,0,0,0,NV,,Mr.,,W.,Nevada,Howard,Cannon,,0,"1959-01-02 00:00:00","1983-01-02 00:00:00",,NULL,SENATE,"1999-09-17 08:52:39",,NULL,0
1072,S019,Case,0,0,0,0,NJ,,Mr.,,P.,"New Jersey",Clifford,Case,,0,"1955-01-03 00:00:00","1979-01-02 00:00:00",,NULL,SENATE,"1999-09-17 08:52:39",,NULL,0
1073,S020,Chiles,0,0,0,0,FL,,Mr.,,,Florida,Lawton,Chiles,"Mr. CHILES",0,"1971-01-03 00:00:00","1989-01-02 00:00:00",,NULL,SENATE,"1999-09-17 08:52:39",,NULL,0
1074,S021,Church,0,0,0,0,ID,,Mr.,,,Idaho,Frank,Church,,0,"1957-01-03 00:00:00","1981-01-03 00:00:00",,NULL,SENATE,"1999-09-17 08:52:39",,NULL,0
1075,S022,Clark,0,0,0,0,IA,,Mr.,,,Iowa,Dick,Clark,,0,"1973-01-03 00:00:00","1979-01-02 00:00:00",,NULL,SENATE,"1999-09-17 08:52:39",,NULL,0
1076,S023,Cranston,0,0,0,0,CA,,Mr.,,,California,Alan,Cranston,"Mr. CRANSTON",0,"1969-01-03 00:00:00","1993-01-05 00:00:00",,NULL,SENATE,"1999-09-17 08:52:39",,NULL,0
1077,S024,Culver,0,0,0,0,IA,,Mr.,,C.,Iowa,John,Culver,,0,"1975-01-03 00:00:00","1981-01-03 00:00:00",,NULL,SENATE,"1999-09-17 08:52:39",,NULL,0
