id_senator_party,member_code,member_party,party_begin_date,party_end_date,caucus_with,created_by,create_dt,last_activity_by,last_activity_dt
1077,S002,D,"1973-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1078,S003,D,"1969-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1079,S004,R,"1967-01-03 00:00:00",NULL,R,SENATE,"1999-09-17 08:52:40",,NULL
1080,S005,R,"1973-01-03 00:00:00",NULL,R,SENATE,"1999-09-17 08:52:40",,NULL
1081,S006,D,"1963-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1082,S007,R,"1971-01-03 00:00:00",NULL,R,SENATE,"1999-09-17 08:52:40",,NULL
1083,S008,R,"1969-01-03 00:00:00",NULL,R,SENATE,"1999-09-17 08:52:40",,NULL
1084,S009,D,"1971-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1085,S010,D,"1973-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1086,S011,R,"1971-01-03 00:00:00",NULL,R,SENATE,"1999-09-17 08:52:40",,NULL
1087,S012,R,"1967-01-03 00:00:00",NULL,R,SENATE,"1999-09-17 08:52:40",,NULL
1088,S013,R,"1971-01-03 00:00:00",NULL,R,SENATE,"1999-09-17 08:52:40",,NULL
1089,S014,D,"1975-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1090,S015,D,"1960-08-08 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1091,S016,D,"1965-11-12 00:00:00","1970-12-31 00:00:00",D,SENATE,"1999-09-17 08:52:40",,NULL
1092,S016,I,"1971-01-01 00:00:00",NULL,D,CAMORUSO,"2003-10-14 16:14:39",dconnolly,"2012-02-08 12:02:46"
1093,S017,D,"1959-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1094,S018,D,"1959-01-02 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1095,S019,R,"1955-01-03 00:00:00",NULL,R,SENATE,"1999-09-17 08:52:40",,NULL
1096,S020,D,"1971-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1097,S021,D,"1957-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1098,S022,D,"1973-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1099,S023,D,"1969-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1100,S024,D,"1975-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1101,S025,R,"1955-01-01 00:00:00",NULL,R,SENATE,"1999-09-17 08:52:40",,NULL
1102,S026,R,"1969-01-03 00:00:00",NULL,R,SENATE,"1999-09-17 08:52:40",,NULL
1103,S027,R,"1973-01-03 00:00:00",NULL,R,SENATE,"1999-09-17 08:52:40",,NULL
1104,S028,D,"1975-09-18 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1105,S029,D,"1968-12-28 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1106,S030,D,"1943-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1107,S031,R,"1965-01-03 00:00:00",NULL,R,SENATE,"1999-09-17 08:52:40",,NULL
1108,S032,R,"1959-08-21 00:00:00",NULL,R,SENATE,"1999-09-17 08:52:40",,NULL
1109,S033,D,"1974-12-28 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1110,S034,R,"1974-12-21 00:00:00",NULL,R,SENATE,"1999-09-17 08:52:40",,NULL
1111,S035,D,"1974-12-24 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1112,S036,R,"1969-01-03 00:00:00",NULL,R,SENATE,"1999-09-17 08:52:40",,NULL
1113,S037,D,"1969-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1114,S038,R,"1966-05-11 00:00:00",NULL,R,SENATE,"1999-09-17 08:52:40",,NULL
1115,S039,R,"1967-01-03 00:00:00",NULL,R,SENATE,"1999-09-17 08:52:40",,NULL
1116,S040,D,"1975-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1117,S041,D,"1959-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1118,S042,D,"1959-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1119,S043,D,"1973-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1120,S044,R,"1967-01-10 00:00:00",NULL,R,SENATE,"1999-09-17 08:52:40",,NULL
1121,S045,D,"1973-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1122,S046,R,"1973-01-03 00:00:00",NULL,R,SENATE,"1999-09-17 08:52:40",,NULL
1123,S047,D,"1966-11-09 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1124,S048,R,"1954-11-08 00:00:00",NULL,R,SENATE,"1999-09-17 08:52:40",,NULL
1125,S049,D,"1973-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1126,S050,D,"1971-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1127,S051,D,"1963-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1128,S052,D,"1953-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1129,S053,R,"1957-01-09 00:00:00",NULL,R,SENATE,"1999-09-17 08:52:40",,NULL
1130,S054,D,"1972-11-14 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1131,S055,D,"1962-11-07 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1132,S056,R,"1974-12-18 00:00:00",NULL,R,SENATE,"1999-09-17 08:52:40",,NULL
1133,S057,D,"1975-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1134,S058,D,"1948-12-31 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1135,S059,D,"1944-12-14 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1136,S060,D,"1953-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1137,S061,R,"1969-01-03 00:00:00",NULL,R,SENATE,"1999-09-17 08:52:40",,NULL
1138,S062,D,"1943-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1139,S063,R,"1973-01-03 00:00:00",NULL,R,SENATE,"1999-09-17 08:52:40",,NULL
1140,S064,D,"1959-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1141,S065,D,"1963-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1142,S066,D,"1962-11-07 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
1143,S067,D,"1961-01-03 00:00:00",NULL,D,SENATE,"1999-09-17 08:52:40",,NULL
