congress,cong_session,voteno,member_code,tally_code,majority,result_code,live_pair,created_by,create_dt,last_activity_by,last_activity_dt
113,2,1,S057,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S118,L,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S127,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S131,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S136,B,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S153,B,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S172,L,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S174,K,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S176,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S182,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S184,B,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S197,K,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S198,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S212,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S221,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S223,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S229,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S236,B,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S247,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S252,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S253,L,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S254,B,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S257,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S258,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S259,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S260,B,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S261,B,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S266,B,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S270,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S275,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S277,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S282,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S284,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S287,B,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S288,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S289,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S290,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S293,K,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S295,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S299,B,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S300,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S301,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S303,K,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S305,B,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S306,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S307,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S308,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S309,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S310,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S311,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S312,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S313,L,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S314,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S316,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S317,B,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S318,B,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S319,L,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S320,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S321,B,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S322,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S323,B,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S324,L,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S325,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
113,2,1,S326,A,1/2," 25",N,dconnolly,"2014-01-07 10:27:28",NULL,NULL
